3.285064	45	H1				
3.321935	45	H1				
8.561165	45	H1				
5.733637	45	H1				
3.92178	45	H1				
2.794167	45	H1				
2.410878	45	H1				
4.660666	45	H1				
0.92057	45	H1				
3.054694	45	H1				
4.775485	45	H1				
6.269996	4H	H1				
3.000746	4H	H1				
11.568431	4H	H1				
6.252396	4H	H1				
7.41465	4H	H1				
2.659254	4H	H1				
11.374722	4H	H1				
5.573445	4H	H1				
5.703951	4H	H1				
8.623262	4H	H1				
7.063175	RC	H1				
7.659965	RC	H1				
6.457758	RC	H1				
15.368944	RC	H1				
3.721318	RC	H1				
26.54499	RC	H1				
5.363526	RC	H1				
9.986182	RC	H1				
10.606235	RC	H1				
10.957019	RC	H1				
14.819649	RC	H1				
3.262063	45	H2				
7.827023	45	H2				
2.969144	45	H2				
8.118905	45	H2				
3.256028	45	H2				
2.380429	45	H2				
5.991165	45	H2				
2.456981	45	H2				
2.712281	45	H2				
2.123128	45	H2				
5.390044	45	H2				
2.828027	45	H2				
4.071236	45	H2				
11.603409	4H	H2				
7.427195	4H	H2				
8.210091	4H	H2				
14.270897	4H	H2				
5.311621	4H	H2				
7.650343	4H	H2				
11.878066	4H	H2				
13.869254	4H	H2				
6.647516	4H	H2				
5.431959	4H	H2				
13.430354	RC	H2				
9.366508	RC	H2				
4.495051	RC	H2				
25.228999	RC	H2				
16.126714	RC	H2				
18.481842	RC	H2				
8.296248	RC	H2				
8.131615	RC	H2				
6.285064	RC	H2				
10.292582	RC	H2				
3.378516	45	H3				
5.167775	45	H3				
1.339787	45	H3				
4.816188	45	H3				
5.560668	45	H3				
5.530485	45	H3				
2.561416	45	H3				
7.013055	45	H3				
10.813288	45	H3				
3.282282	45	H3				
4.933804	4H	H3				
3.5867	4H	H3				
5.259291	4H	H3				
5.774896	4H	H3				
2.47393	4H	H3				
3.434947	4H	H3				
3.735706	4H	H3				
5.904895	4H	H3				
4.462391	4H	H3				
4.46239	4H	H3				
9.275116	RC	H3				
7.677304	RC	H3				
10.434666	RC	H3				
13.248385	RC	H3				
6.440004	RC	H3				
8.920933	RC	H3				
7.507206	RC	H3				
6.992418	RC	H3				
6.680765	RC	H3				
2.650778	45	H4				
6.473343	45	H4				
8.584619	45	H4				
5.042785	45	H4				
3.502761	45	H4				
3.670205	45	H4				
3.449285	45	H4				
5.716001	45	H4				
7.12095	45	H4				
4.986132	45	H4				
9.905299	4H	H4				
2.749732	4H	H4				
7.471198	4H	H4				
6.251198	4H	H4				
3.036224	4H	H4				
6.395929	4H	H4				
7.192259	4H	H4				
2.131959	4H	H4				
6.234471	RC	H4				
18.912204	RC	H4				
8.887994	RC	H4				
8.700475	RC	H4				
16.578797	RC	H4				
13.962317	RC	H4				
11.123403	RC	H4				
9.256248	RC	H4				
17.144014	RC	H4				
15.784347	RC	H4				
8.606544	45	H5				
3.156335	45	H5				
10.304299	45	H5				
3.140053	45	H5				
3.139031	45	H5				
4.740347	45	H5				
6.689511	45	H5				
3.165611	45	H5				
4.276362	45	H5				
3.820086	4H	H5				
10.104507	4H	H5				
4.593929	4H	H5				
6.487383	4H	H5				
11.103803	4H	H5				
11.049769	4H	H5				
10.446494	4H	H5				
11.080351	4H	H5				
5.633448	4H	H5				
6.745357	4H	H5				
10.736949	RC	H5				
11.167926	RC	H5				
9.171832	RC	H5				
7.56263	RC	H5				
10.436353	RC	H5				
12.578507	RC	H5				
11.310352	RC	H5				
